,hhid,Name
0,101001,Abia
1,101002,Abia
2,101003,Abia
3,101004,Abia
4,101005,Abia
5,101006,Abia
6,101007,Abia
7,101008,Abia
8,101009,Abia
9,101010,Abia
10,101151,Abia
11,101152,Abia
12,101153,Abia
13,101155,Abia
14,101156,Abia
15,101157,Abia
16,101158,Abia
17,101159,Abia
18,101160,Abia
19,101301,Abia
20,101302,Abia
21,101303,Abia
22,101304,Abia
23,101305,Abia
24,101306,Abia
25,101307,Abia
26,101308,Abia
27,101309,Abia
28,101310,Abia
29,101664,Abia
30,102161,Abia
31,102162,Abia
32,102163,Abia
33,102164,Abia
34,102165,Abia
35,102166,Abia
36,102167,Abia
37,102168,Abia
38,102170,Abia
39,102171,Abia
40,102172,Abia
41,102173,Abia
42,102174,Abia
43,102175,Abia
44,102176,Abia
45,102177,Abia
46,102178,Abia
47,102179,Abia
48,102180,Abia
49,102311,Abia
50,102312,Abia
51,102313,Abia
52,102314,Abia
53,102315,Abia
54,102316,Abia
55,102317,Abia
56,102318,Abia
57,102319,Abia
58,102320,Abia
59,102322,Abia
60,102323,Abia
61,102324,Abia
62,102325,Abia
63,102326,Abia
64,102327,Abia
65,102328,Abia
66,102329,Abia
67,102330,Abia
68,102451,Abia
69,102452,Abia
70,102453,Abia
71,102454,Abia
72,102455,Abia
73,102456,Abia
74,102457,Abia
75,102458,Abia
76,102459,Abia
77,102460,Abia
78,102461,Abia
79,102462,Abia
80,102463,Abia
81,102464,Abia
82,102465,Abia
83,102466,Abia
84,102467,Abia
85,102468,Abia
86,102469,Abia
87,102470,Abia
88,102471,Abia
89,102472,Abia
90,102473,Abia
91,102474,Abia
92,102475,Abia
93,102476,Abia
94,102477,Abia
95,102478,Abia
96,102479,Abia
97,102480,Abia
98,102668,Abia
99,102732,Abia
100,103011,Abia
101,103012,Abia
102,103013,Abia
103,103014,Abia
104,103015,Abia
105,103016,Abia
106,103017,Abia
107,103018,Abia
108,103019,Abia
109,103020,Abia
110,103481,Abia
111,103482,Abia
112,103483,Abia
113,103484,Abia
114,103485,Abia
115,103486,Abia
116,103487,Abia
117,103488,Abia
118,103489,Abia
119,103490,Abia
120,103491,Abia
121,103492,Abia
122,103493,Abia
123,103494,Abia
124,103495,Abia
125,103496,Abia
126,103497,Abia
127,103498,Abia
128,103499,Abia
129,103500,Abia
130,104181,Abia
131,104182,Abia
132,104183,Abia
133,104184,Abia
134,104185,Abia
135,104186,Abia
136,104187,Abia
137,104188,Abia
138,104189,Abia
139,104190,Abia
140,104501,Abia
141,104502,Abia
142,104503,Abia
143,104504,Abia
144,104505,Abia
145,104506,Abia
146,104507,Abia
147,104508,Abia
148,104509,Abia
149,104510,Abia
150,104511,Abia
151,104512,Abia
152,104513,Abia
153,104514,Abia
154,104515,Abia
155,104516,Abia
156,104517,Abia
157,104518,Abia
158,104519,Abia
159,104520,Abia
160,105191,Abia
161,105192,Abia
162,105193,Abia
163,105194,Abia
164,105195,Abia
165,105196,Abia
166,105197,Abia
167,105198,Abia
168,105199,Abia
169,105200,Abia
170,105201,Abia
171,105202,Abia
172,105203,Abia
173,105204,Abia
174,105205,Abia
175,105206,Abia
176,105207,Abia
177,105208,Abia
178,105209,Abia
179,105210,Abia
180,106021,Abia
181,106022,Abia
182,106023,Abia
183,106024,Abia
184,106025,Abia
185,106026,Abia
186,106027,Abia
187,106028,Abia
188,106029,Abia
189,106030,Abia
190,106031,Abia
191,106032,Abia
192,106033,Abia
193,106034,Abia
194,106035,Abia
195,106036,Abia
196,106037,Abia
197,106038,Abia
198,106039,Abia
199,106040,Abia
200,106211,Abia
201,106212,Abia
202,106213,Abia
203,106214,Abia
204,106215,Abia
205,106216,Abia
206,106217,Abia
207,106218,Abia
208,106219,Abia
209,106220,Abia
210,106331,Abia
211,106332,Abia
212,106333,Abia
213,106334,Abia
214,106335,Abia
215,106336,Abia
216,106337,Abia
217,106338,Abia
218,106339,Abia
219,106340,Abia
220,106561,Abia
221,106562,Abia
222,106563,Abia
223,106564,Abia
224,106565,Abia
225,106566,Abia
226,106567,Abia
227,106568,Abia
228,106569,Abia
229,106570,Abia
230,107041,Abia
231,107043,Abia
232,107044,Abia
233,107045,Abia
234,107046,Abia
235,107047,Abia
236,107048,Abia
237,107049,Abia
238,107050,Abia
239,107221,Abia
240,107222,Abia
241,107223,Abia
242,107224,Abia
243,107225,Abia
244,107226,Abia
245,107227,Abia
246,107228,Abia
247,107229,Abia
248,107230,Abia
249,107341,Abia
250,107342,Abia
251,107343,Abia
252,107344,Abia
253,107345,Abia
254,107346,Abia
255,107347,Abia
256,107348,Abia
257,107349,Abia
258,107350,Abia
259,107351,Abia
260,107352,Abia
261,107353,Abia
262,107354,Abia
263,107355,Abia
264,107356,Abia
265,107357,Abia
